Xindex, Description, Lowerbound, Upperbound, ScaleFactor, Value
0,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: event left state epoch,4958323200,4989880800,5022642.890479,4980441959.632
1,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: magnitude of outgoing velocity asymptote,0,5.4102,29.78469183517,1.864627923151
2,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: RA of departure asymptote,-50.26548245744,50.26548245744,6.28318530718,-9.027163416725
3,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: DEC of departure asymptote,-1.570796326795,1.570796326795,6.28318530718,0.8748514879286
4,j0p0MGALTEphemerisPeggedLaunchDirectInsertion: initial mass multiplier,1e-13,1,1,1
5,j0p0MGALT: phase flight time,5184001,194983200,5022642.890479,74076847.64847
6,j0p0MGALTEphemerisPeggedLTRendezvous: event left state mass,1e-13,10000,10000,2405.707142549
7,j0p0MGALT: virtual chemical fuel,0,10000,10000,0
8,j0p0MGALT: virtual electric propellant,0,10000,10000,372.5295296606
9,j0p0MGALT: step 0 u_x,-1,1,1,-0.9135787468595
10,j0p0MGALT: step 0 u_y,-1,1,1,0.07163489172603
11,j0p0MGALT: step 0 u_z,-1,1,1,0.4003031820722
12,j0p0MGALT: step 1 u_x,-1,1,1,-0.9550951927145
13,j0p0MGALT: step 1 u_y,-1,1,1,0.08428669786101
14,j0p0MGALT: step 1 u_z,-1,1,1,-0.2840581354325
15,j0p0MGALT: step 2 u_x,-1,1,1,-0.5486123257193
16,j0p0MGALT: step 2 u_y,-1,1,1,0.432392739363
17,j0p0MGALT: step 2 u_z,-1,1,1,-0.7155845880723
18,j0p0MGALT: step 3 u_x,-1,1,1,-0.4448373908769
19,j0p0MGALT: step 3 u_y,-1,1,1,0.6729479675082
20,j0p0MGALT: step 3 u_z,-1,1,1,-0.5909830695915
21,j0p0MGALT: step 4 u_x,-1,1,1,-0.6333605386939
22,j0p0MGALT: step 4 u_y,-1,1,1,0.6606772842005
23,j0p0MGALT: step 4 u_z,-1,1,1,-0.402939742155
24,j0p0MGALT: step 5 u_x,-1,1,1,-0.8689771020362
25,j0p0MGALT: step 5 u_y,-1,1,1,0.4792146430243
26,j0p0MGALT: step 5 u_z,-1,1,1,-0.1234207641707
27,j0p0MGALT: step 6 u_x,-1,1,1,-0.8100040361205
28,j0p0MGALT: step 6 u_y,-1,1,1,0.2312153059894
29,j0p0MGALT: step 6 u_z,-1,1,1,0.5389192509329
30,j0p0MGALT: step 7 u_x,-1,1,1,-0.4004296151207
31,j0p0MGALT: step 7 u_y,-1,1,1,0.2497749441874
32,j0p0MGALT: step 7 u_z,-1,1,1,0.8816290698429
33,j0p0MGALT: step 8 u_x,-1,1,1,-0.516171233526
34,j0p0MGALT: step 8 u_y,-1,1,1,0.3657175972998
35,j0p0MGALT: step 8 u_z,-1,1,1,0.7744793894016
36,j0p0MGALT: step 9 u_x,-1,1,1,-0.8643466176393
37,j0p0MGALT: step 9 u_y,-1,1,1,0.2485667412743
38,j0p0MGALT: step 9 u_z,-1,1,1,0.4371722297317
39,j0p0MGALT: step 10 u_x,-1,1,1,-0.9923021281217
40,j0p0MGALT: step 10 u_y,-1,1,1,-0.06343350388059
41,j0p0MGALT: step 10 u_z,-1,1,1,-0.1063619198442
42,j0p0MGALT: step 11 u_x,-1,1,1,-0.736836562691
43,j0p0MGALT: step 11 u_y,-1,1,1,-0.1636531375603
44,j0p0MGALT: step 11 u_z,-1,1,1,-0.6559649088209
45,j0p0MGALT: step 12 u_x,-1,1,1,-0.4169133471484
46,j0p0MGALT: step 12 u_y,-1,1,1,0.09500582823393
47,j0p0MGALT: step 12 u_z,-1,1,1,-0.9039678086877
48,j0p0MGALT: step 13 u_x,-1,1,1,-0.3186037949258
49,j0p0MGALT: step 13 u_y,-1,1,1,0.3871387436277
50,j0p0MGALT: step 13 u_z,-1,1,1,-0.8652262372815
51,j0p0MGALT: step 14 u_x,-1,1,1,-0.3661366868315
52,j0p0MGALT: step 14 u_y,-1,1,1,0.6313032200586
53,j0p0MGALT: step 14 u_z,-1,1,1,-0.6836681889027
54,j0p0MGALT: step 15 u_x,-1,1,1,-0.0008192084780166
55,j0p0MGALT: step 15 u_y,-1,1,1,0.00177941342092
56,j0p0MGALT: step 15 u_z,-1,1,1,0.0003644065557564
57,j0p0MGALT: step 16 u_x,-1,1,1,-0.01503530687305
